racer_id,racer_name,race_count,win_count,top2_count,top3_count,win_rate,top2_rate,top3_rate,avg_start_timing,last_race_date
2538,高橋,68,1,5,15,0.014706,0.073529,0.220588,,2026-05-01
2878,富山,79,10,22,45,0.126582,0.278481,0.569620,,2026-04-28
3024,西島,66,22,38,45,0.333333,0.575758,0.681818,,2026-04-26
3054,北川,51,10,17,24,0.196078,0.333333,0.470588,,2026-04-19
3070,山室,53,12,27,36,0.226415,0.509434,0.679245,,2026-04-27
3072,西田,53,7,9,20,0.132075,0.169811,0.377358,,2026-05-01
3075,中村,66,7,18,25,0.106061,0.272727,0.378788,,2026-04-25
3081,岡本,50,9,22,30,0.180000,0.440000,0.600000,,2026-04-07
3105,内山,63,10,17,33,0.158730,0.269841,0.523810,,2026-04-28
3107,平岡,43,1,6,10,0.023256,0.139535,0.232558,,2026-04-26
3156,金子,59,3,17,25,0.050847,0.288136,0.423729,,2026-04-23
3158,島川,62,8,21,34,0.129032,0.338710,0.548387,,2026-04-19
3159,江口,81,28,41,57,0.345679,0.506173,0.703704,,2026-05-02
3161,古場,59,5,22,30,0.084746,0.372881,0.508475,,2026-04-21
3175,渡辺,65,4,15,33,0.061538,0.230769,0.507692,,2026-04-15
3176,長谷川,34,2,4,8,0.058824,0.117647,0.235294,,2026-03-14
3202,三品,69,5,17,24,0.072464,0.246377,0.347826,,2026-04-28
3207,田村,61,2,9,14,0.032787,0.147541,0.229508,,2026-04-27
3211,北川,45,3,9,11,0.066667,0.200000,0.244444,,2026-04-24
3212,亀本,61,8,15,27,0.131148,0.245902,0.442623,,2026-04-21
3224,栗山,63,2,7,19,0.031746,0.111111,0.301587,,2026-04-20
3226,浦田,54,4,13,22,0.074074,0.240741,0.407407,,2026-05-01
3232,山川,59,16,27,40,0.271186,0.457627,0.677966,,2026-04-06
3233,小畑,75,8,17,29,0.106667,0.226667,0.386667,,2026-04-17
3246,星野,36,3,5,8,0.083333,0.138889,0.222222,,2026-04-25
3251,平石 和男,96,16,41,58,0.166667,0.427083,0.604167,51.0000,2026-05-03
3256,三角,86,20,38,55,0.232558,0.441860,0.639535,,2026-05-01
3257,田頭,52,18,29,34,0.346154,0.557692,0.653846,,2026-04-27
3265,今村,72,16,27,38,0.222222,0.375000,0.527778,,2026-05-01
3268,竜也,62,5,12,19,0.080645,0.193548,0.306452,,2026-04-19
3277,齋藤,71,6,10,20,0.084507,0.140845,0.281690,,2026-04-28
3282,池本,77,6,18,28,0.077922,0.233766,0.363636,,2026-04-25
3284,渡邊,77,13,25,37,0.168831,0.324675,0.480519,,2026-04-28
3286,坂東,66,7,15,25,0.106061,0.227273,0.378788,,2026-04-28
3289,高橋,48,2,8,13,0.041667,0.166667,0.270833,,2026-04-21
3293,宮内,55,0,6,14,0.000000,0.109091,0.254545,,2026-05-02
3294,野中,48,4,10,17,0.083333,0.208333,0.354167,,2026-05-01
3297,藤丸,56,5,12,25,0.089286,0.214286,0.446429,,2026-04-25
3300,川崎,94,19,37,57,0.202128,0.393617,0.606383,,2026-04-27
3302,谷川,60,9,17,25,0.150000,0.283333,0.416667,,2026-04-13
3303,渡辺,73,10,21,35,0.136986,0.287671,0.479452,,2026-04-28
3304,烏野,95,21,37,62,0.221053,0.389474,0.652632,,2026-04-28
3305,小野,56,7,12,17,0.125000,0.214286,0.303571,,2026-04-23
3306,武田 正紀,56,3,11,24,0.053571,0.196429,0.428571,50.0000,2026-05-03
3313,本吉,67,9,16,25,0.134328,0.238806,0.373134,,2026-04-28
3315,広瀬,50,3,14,18,0.060000,0.280000,0.360000,,2026-04-29
3319,山崎,78,9,32,48,0.115385,0.410256,0.615385,,2026-04-28
3327,野長瀬,88,15,35,50,0.170455,0.397727,0.568182,,2026-05-02
3333,丸尾,82,17,35,45,0.207317,0.426829,0.548780,,2026-04-28
3334,ひとみ,96,11,33,50,0.114583,0.343750,0.520833,,2026-04-21
3339,具巳,79,7,26,34,0.088608,0.329114,0.430380,,2026-04-28
3340,池田,76,14,23,32,0.184211,0.302632,0.421053,,2026-04-27
3346,宮本,9,1,2,2,0.111111,0.222222,0.222222,,2026-01-26
3349,吉田,80,25,43,59,0.312500,0.537500,0.737500,,2026-04-21
3350,藤本,89,13,25,41,0.146067,0.280899,0.460674,,2026-04-25
3352,小川,63,0,8,29,0.000000,0.126984,0.460317,,2026-04-28
3353,前田,43,2,5,12,0.046512,0.116279,0.279070,,2026-04-23
3355,橋谷田,32,0,2,8,0.000000,0.062500,0.250000,,2026-04-13
3357,福島,69,6,16,25,0.086957,0.231884,0.362319,,2026-04-25
3361,岡部,67,6,18,28,0.089552,0.268657,0.417910,,2026-04-22
3362,間嶋,52,7,18,25,0.134615,0.346154,0.480769,,2026-04-21
3370,坪内,62,6,12,22,0.096774,0.193548,0.354839,,2026-04-23
3372,加藤,27,0,1,5,0.000000,0.037037,0.185185,,2026-03-12
3377,塚田,59,3,14,22,0.050847,0.237288,0.372881,,2026-05-01
3381,滝沢 芳行,66,10,23,32,0.151515,0.348485,0.484848,50.5000,2026-05-03
3385,渡邉,78,13,30,42,0.166667,0.384615,0.538462,,2026-04-25
3388,今垣,63,20,30,38,0.317460,0.476190,0.603175,,2026-04-26
3392,小森,62,5,11,21,0.080645,0.177419,0.338710,,2026-04-25
3401,上田,72,6,16,26,0.083333,0.222222,0.361111,,2026-04-28
3406,中里,71,7,22,36,0.098592,0.309859,0.507042,,2026-05-02
3411,池上,62,4,5,18,0.064516,0.080645,0.290323,,2026-04-25
3412,鈴木 博,98,24,50,75,0.244898,0.510204,0.765306,50.0000,2026-05-03
3415,松井,81,20,32,50,0.246914,0.395062,0.617284,,2026-04-26
3419,栗原,19,1,1,1,0.052632,0.052632,0.052632,,2026-04-21
3422,服部,81,17,35,44,0.209877,0.432099,0.543210,,2026-04-26
3430,角浜,61,4,14,16,0.065574,0.229508,0.262295,,2026-04-20
3432,宮迫,49,5,11,19,0.102041,0.224490,0.387755,,2026-04-30
3434,松尾,76,10,19,30,0.131579,0.250000,0.394737,,2026-04-28
3435,寺田,59,11,22,30,0.186441,0.372881,0.508475,,2026-04-26
3436,柏野,68,15,22,39,0.220588,0.323529,0.573529,,2026-04-25
3439,大平,70,19,36,48,0.271429,0.514286,0.685714,,2026-04-15
3441,土屋,67,5,16,27,0.074627,0.238806,0.402985,,2026-05-02
3442,宮武,47,4,10,20,0.085106,0.212766,0.425532,,2026-04-28
3444,香月,73,7,12,19,0.095890,0.164384,0.260274,,2026-04-24
3445,加藤,97,8,20,42,0.082474,0.206186,0.432990,,2026-04-27
3448,高山,67,7,16,24,0.104478,0.238806,0.358209,,2026-05-01
3454,井川,68,10,23,37,0.147059,0.338235,0.544118,,2026-04-28
3455,谷本,79,11,27,39,0.139241,0.341772,0.493671,,2026-05-02
3458,健介,47,6,9,19,0.127660,0.191489,0.404255,,2026-04-28
3459,中野,53,3,8,15,0.056604,0.150943,0.283019,,2026-05-02
3461,渡邊,48,3,6,8,0.062500,0.125000,0.166667,,2026-05-01
3463,乙津,90,11,25,50,0.122222,0.277778,0.555556,,2026-04-29
3467,弘行,50,2,7,16,0.040000,0.140000,0.320000,,2026-04-23
3470,新田,67,9,20,30,0.134328,0.298507,0.447761,,2026-04-17
3471,赤峰,53,0,10,15,0.000000,0.188679,0.283019,,2026-04-20
3473,石川,76,18,37,48,0.236842,0.486842,0.631579,,2026-04-23
3474,松瀬,77,7,18,31,0.090909,0.233766,0.402597,,2026-04-27
3475,橋本,64,15,25,31,0.234375,0.390625,0.484375,,2026-05-02
3477,近藤,70,3,10,22,0.042857,0.142857,0.314286,,2026-04-25
3478,嶋田,65,9,18,30,0.138462,0.276923,0.461538,,2026-04-28
3482,金子,97,10,31,50,0.103093,0.319588,0.515464,,2026-05-02
3484,芝田,86,26,39,52,0.302326,0.453488,0.604651,,2026-04-28
3489,大場,86,17,31,48,0.197674,0.360465,0.558140,,2026-04-25
3497,後藤 浩,66,11,22,30,0.166667,0.333333,0.454545,53.0000,2026-05-03
3499,市川,81,25,36,50,0.308642,0.444444,0.617284,,2026-04-22
3502,渡邉,70,8,26,42,0.114286,0.371429,0.600000,,2026-04-29
3503,堂原,65,1,10,19,0.015385,0.153846,0.292308,,2026-04-24
3505,山田,64,9,21,36,0.140625,0.328125,0.562500,,2026-04-19
3507,藤井,54,2,14,18,0.037037,0.259259,0.333333,,2026-04-25
3508,久富,61,15,25,35,0.245902,0.409836,0.573770,,2026-04-19
3509,千夏,59,3,9,17,0.050847,0.152542,0.288136,,2026-04-27
3514,山一,101,28,40,57,0.277228,0.396040,0.564356,,2026-04-28
3516,吉原,49,4,13,17,0.081633,0.265306,0.346939,,2026-05-01
3517,高橋,59,11,21,36,0.186441,0.355932,0.610169,,2026-04-28
3518,倉田,59,4,15,24,0.067797,0.254237,0.406780,,2026-04-22
3519,冨田,78,6,14,28,0.076923,0.179487,0.358974,,2026-04-29
3523,寳田,53,5,12,24,0.094340,0.226415,0.452830,,2026-04-25
3527,中嶋,69,7,22,35,0.101449,0.318841,0.507246,,2026-05-01
3528,笠野,67,3,6,22,0.044776,0.089552,0.328358,,2026-04-20
3532,柴田,24,2,4,8,0.083333,0.166667,0.333333,,2026-05-02
3535,修平,59,4,15,23,0.067797,0.254237,0.389831,,2026-04-26
3538,菊池,7,0,1,4,0.000000,0.142857,0.571429,,2026-04-25
3539,金子,77,5,14,23,0.064935,0.181818,0.298701,,2026-04-28
3541,三嶌,94,18,36,51,0.191489,0.382979,0.542553,,2026-04-28
3542,清水,67,4,14,22,0.059701,0.208955,0.328358,,2026-04-28
3543,福田,39,6,12,20,0.153846,0.307692,0.512821,,2026-03-20
3544,豊田,68,1,11,18,0.014706,0.161765,0.264706,,2026-04-29
3546,中里 昌志,63,2,10,29,0.031746,0.158730,0.460317,51.0000,2026-05-03
3548,室田,96,17,37,52,0.177083,0.385417,0.541667,,2026-04-28
3550,都築,93,22,38,51,0.236559,0.408602,0.548387,,2026-05-02
3551,藤田,59,6,9,14,0.101695,0.152542,0.237288,,2026-04-27
3554,仲口,94,24,47,65,0.255319,0.500000,0.691489,,2026-04-26
3556,田中,72,17,32,46,0.236111,0.444444,0.638889,,2026-04-26
3557,太田,105,25,51,70,0.238095,0.485714,0.666667,,2026-04-26
3558,山本,65,6,14,27,0.092308,0.215385,0.415385,,2026-04-24
3562,山下,88,19,42,55,0.215909,0.477273,0.625000,,2026-05-01
3563,,65,8,25,38,0.123077,0.384615,0.584615,,2026-04-27
3564,桑原,73,7,21,31,0.095890,0.287671,0.424658,,2026-05-02
3566,川添,73,12,25,41,0.164384,0.342466,0.561644,,2026-04-28
3567,吉岡,44,3,8,9,0.068182,0.181818,0.204545,,2026-04-25
3568,木村,69,8,16,26,0.115942,0.231884,0.376812,,2026-04-28
3569,増田,78,4,13,25,0.051282,0.166667,0.320513,,2026-04-25
3572,安田,92,7,20,38,0.076087,0.217391,0.413043,,2026-04-19
3574,大神,79,15,38,51,0.189873,0.481013,0.645570,,2026-04-19
3576,白水,98,21,45,77,0.214286,0.459184,0.785714,,2026-04-28
